item.type,item.value,image.type,image.value,itemLabel.xml:lang,itemLabel.type,itemLabel.value,typeLabel.xml:lang,typeLabel.type,typeLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value,creatorLabel.xml:lang,creatorLabel.type,creatorLabel.value,collectionLabel.xml:lang,collectionLabel.type,collectionLabel.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,name_norm,creator_norm
uri,http://www.wikidata.org/entity/Q1970857,uri,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9F%D0%B0%D0%BD%D0%BE%D1%80%D0%B0%D0%BC%D0%B0%20-%20panoramio%20%2868%29.jpg,en,literal,Fascism victims monument in Donetsk,en,literal,monument,en,literal,"Leninsky Avenue, Donetsk",en,literal,Leonid Brynn,,,,,,,fascism victims monument in donetsk,leonid brynn
uri,http://www.wikidata.org/entity/Q2178100,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Shahter%20slava%201.jpg,en,literal,Miner's Glory Medal,en,literal,badge of distinction,,,,,,,,,,,,,miners glory medal,
uri,http://www.wikidata.org/entity/Q1992215,uri,http://commons.wikimedia.org/wiki/Special:FilePath/60%20Years%20of%20Victory%20in%20the%20Great%20Patriotic%20War%20obverse.jpg,en,literal,"Jubilee Medal ""60 Years of Victory in the Great Patriotic War 1941–1945""",en,literal,jubilee medal,,,,,,,,,,,,,jubilee medal 60 years of victory in the great patriotic war 19411945,
uri,http://www.wikidata.org/entity/Q2328791,uri,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9B%D1%83%D0%BA%27%D1%8F%D0%BD%D1%96%D0%B2%D1%8C%D0%BA%D0%B5%20%D0%BA%D0%BB%D0%B0%D0%B4%D0%BE%D0%B2%D0%B8%D1%89%D0%B5.jpg,en,literal,Lukianivske Cemetery,en,literal,cemetery,en,literal,Lukyanivka,,,,,,,,,,lukianivske cemetery,
uri,http://www.wikidata.org/entity/Q2676406,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Dnipropetrovsk%20Oblast.svg,en,literal,flag of Dnipropetrovsk Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of dnipropetrovsk oblast,
uri,http://www.wikidata.org/entity/Q2600942,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Chernivtsi%20Oblast.svg,en,literal,flag of Chernivtsi Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of chernivtsi oblast,
uri,http://www.wikidata.org/entity/Q2454410,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ivano-Frankivsk%20Oblast2.svg,en,literal,flag of Ivano-Frankivsk Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of ivanofrankivsk oblast,
uri,http://www.wikidata.org/entity/Q2277875,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zhytomyr%20Oblast.svg,en,literal,flag of Zhytomyr Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of zhytomyr oblast,
uri,http://www.wikidata.org/entity/Q1987294,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Halytskyi%20District%2C%20Lviv%2C%20Lviv%20Oblast%2C%20Ukraine%20-%20panoramio%20%28280%29.jpg,en,literal,Stepan Bandera monument in Lviv,en,literal,monument,,,,,,,,,,,,,stepan bandera monument in lviv,
uri,http://www.wikidata.org/entity/Q2501410,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Rivne%20Oblast.svg,en,literal,flag of Rivne Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of rivne oblast,
uri,http://www.wikidata.org/entity/Q2130987,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sevastopol.svg,en,literal,Flag of Sevastopol,en,literal,municipal flag,,,,,,,,,,,,,flag of sevastopol,
uri,http://www.wikidata.org/entity/Q1986005,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Medal%20of%20Zhukov.jpg,en,literal,Zhukov Medal,en,literal,medallion,,,,,,,,,,,,,zhukov medal,
uri,http://www.wikidata.org/entity/Q1850054,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kyiv%20Oblast.svg,en,literal,flag of Kyiv Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of kyiv oblast,
