museum.type,museum.value,coord.datatype,coord.type,coord.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value
uri,http://www.wikidata.org/entity/Q2073209,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.513512 50.444758),en,literal,Pedagogical Museum,en,literal,"Volodymyrska Street, Kyiv"
uri,http://www.wikidata.org/entity/Q743881,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.882104 44.749009),en,literal,Bakhchisaray Palace,en,literal,Bakhchysarai
uri,http://www.wikidata.org/entity/Q12122625,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(32.20361 51.522329),en,literal,Mena Zoo,en,literal,Chernihiv Oblast
uri,http://www.wikidata.org/entity/Q11786996,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(23.9984 49.8335),en,literal,Museum of the History of Lviv Railway,en,literal,Lviv
uri,http://www.wikidata.org/entity/Q4470516,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.801317 48.007573),en,literal,Ukrainian steppe park in Donetsk,en,literal,Donetsk
uri,http://www.wikidata.org/entity/Q4496331,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(36.236553513 50.008246821),en,literal,Kharkiv museum of nature,en,literal,Kharkiv Raion
uri,http://www.wikidata.org/entity/Q16666883,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.443967211 49.374720978),uk,literal,Красноградський краєзнавчий музей імені П. Д. Мартиновича,en,literal,Berestyn
uri,http://www.wikidata.org/entity/Q195975,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.508633 50.396937),en,literal,National Oleksandr Dovzhenko Film Centre,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q1232436,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.5233 44.5955),en,literal,Siege of Sevastopol,en,literal,Sevastopol
uri,http://www.wikidata.org/entity/Q4331460,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.75833 46.458568),en,literal,Museum of the Cinema,en,literal,Odesa
uri,http://www.wikidata.org/entity/Q109264771,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(34.277166666 49.253111111),uk,literal,Білицький краєзнавчий музей,en,literal,Bilyky
uri,http://www.wikidata.org/entity/Q65200776,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.611111 49.714167),en,literal,Kupiansk museum of local history,en,literal,Kupiansk
uri,http://www.wikidata.org/entity/Q16701571,,,,en,literal,Dolphinarium in Kyiv,,,
uri,http://www.wikidata.org/entity/Q4331441,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.765345 46.477063),en,literal,Dolphinarium in Odesa,en,literal,Odesa
